face_id,src_x,src_y,src_z,tgt_x,tgt_y,tgt_z
0,0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.6052880847619422,-0.5169648623363485,-0.6052880847619422
0,0.6052880847619422,-0.5169648623363485,-0.6052880847619422,0.6377183185105754,-0.5446628986061215,-0.5446628986061215
0,0.6377183185105754,-0.5446628986061215,-0.5446628986061215,0.6052880847619422,-0.6052880847619422,-0.5169648623363484
0,0.6052880847619422,-0.6052880847619422,-0.5169648623363484,0.5773502691896258,-0.5773502691896258,-0.5773502691896258
1,0.6052880847619422,-0.5169648623363485,-0.6052880847619422,0.6289601696450940,-0.4569663116686273,-0.6289601696450940
1,0.6289601696450940,-0.4569663116686273,-0.6289601696450940,0.6655851762732404,-0.4835759365724539,-0.5684634435857714
1,0.6655851762732404,-0.4835759365724539,-0.5684634435857714,0.6377183185105754,-0.5446628986061215,-0.5446628986061215
1,0.6377183185105754,-0.5446628986061215,-0.5446628986061215,0.6052880847619422,-0.5169648623363485,-0.6052880847619422
2,0.6289601696450940,-0.4569663116686273,-0.6289601696450940,0.6488140039676231,-0.3975937329875844,-0.6488140039676231
2,0.6488140039676231,-0.3975937329875844,-0.6488140039676231,0.6892490165479300,-0.4223723405652446,-0.5886742725082763
2,0.6892490165479300,-0.4223723405652446,-0.5886742725082763,0.6655851762732404,-0.4835759365724539,-0.5684634435857714
2,0.6655851762732404,-0.4835759365724539,-0.5684634435857714,0.6289601696450940,-0.4569663116686273,-0.6289601696450940
3,0.6488140039676231,-0.3975937329875844,-0.6488140039676231,0.6652465971273087,-0.3389600714259312,-0.6652465971273087
3,0.6652465971273087,-0.3389600714259312,-0.6652465971273087,0.7090469060130568,-0.3612774434989368,-0.6055832675133817
3,0.7090469060130568,-0.3612774434989368,-0.6055832675133817,0.6892490165479300,-0.4223723405652446,-0.5886742725082763
3,0.6892490165479300,-0.4223723405652446,-0.5886742725082763,0.6488140039676231,-0.3975937329875844,-0.6488140039676231
4,0.6652465971273087,-0.3389600714259312,-0.6652465971273087,0.6785983445458471,-0.2810846377148203,-0.6785983445458471
4,0.6785983445458471,-0.2810846377148203,-0.6785983445458471,0.7252803187093972,-0.3004209445317132,-0.6194479117564835
4,0.7252803187093972,-0.3004209445317132,-0.6194479117564835,0.7090469060130568,-0.3612774434989368,-0.6055832675133817
4,0.7090469060130568,-0.3612774434989368,-0.6055832675133817,0.6652465971273087,-0.3389600714259312,-0.6652465971273087
5,0.6785983445458471,-0.2810846377148203,-0.6785983445458471,0.6891517577746518,-0.2239189797945133,-0.6891517577746518
5,0.6891517577746518,-0.2239189797945133,-0.6891517577746518,0.7382081147582570,-0.2398583564039193,-0.6304892926674255
5,0.7382081147582570,-0.2398583564039193,-0.6304892926674255,0.7252803187093972,-0.3004209445317132,-0.6194479117564835
5,0.7252803187093972,-0.3004209445317132,-0.6194479117564835,0.6785983445458471,-0.2810846377148203,-0.6785983445458471
6,0.6891517577746518,-0.2239189797945133,-0.6891517577746518,0.6971328279218609,-0.1673667842414925,-0.6971328279218609
6,0.6971328279218609,-0.1673667842414925,-0.6971328279218609,0.7480430458253629,-0.1795892461802635,-0.6388891173347052
6,0.7480430458253629,-0.1795892461802635,-0.6388891173347052,0.7382081147582570,-0.2398583564039193,-0.6304892926674255
6,0.7382081147582570,-0.2398583564039193,-0.6304892926674255,0.6891517577746518,-0.2239189797945133,-0.6891517577746518
7,0.6971328279218609,-0.1673667842414925,-0.6971328279218609,0.7027135113015590,-0.1112988861959871,-0.7027135113015590
7,0.7027135113015590,-0.1112988861959871,-0.7027135113015590,0.7549504206476012,-0.1195723998470435,-0.6447885727576356
7,0.7549504206476012,-0.1195723998470435,-0.6447885727576356,0.7480430458253629,-0.1795892461802635,-0.6388891173347052
7,0.7480430458253629,-0.1795892461802635,-0.6388891173347052,0.6971328279218609,-0.1673667842414925,-0.6971328279218609
8,0.7027135113015590,-0.1112988861959871,-0.7027135113015590,0.7060143703707868,-0.0555645359908892,-0.7060143703707868
8,0.7060143703707868,-0.0555645359908892,-0.7060143703707868,0.7590479329574324,-0.0597383678854485,-0.6482881788799113
8,0.7590479329574324,-0.0597383678854485,-0.6482881788799113,0.7549504206476012,-0.1195723998470435,-0.6447885727576356
8,0.7549504206476012,-0.1195723998470435,-0.6447885727576356,0.7027135113015590,-0.1112988861959871,-0.7027135113015590
9,0.7060143703707868,-0.0555645359908892,-0.7060143703707868,0.7071067811865476,0.0000000000000000,-0.7071067811865476
9,0.7071067811865476,0.0000000000000000,-0.7071067811865476,0.7604059656000310,0.0000000000000000,-0.6494480483301837
9,0.7604059656000310,0.0000000000000000,-0.6494480483301837,0.7590479329574324,-0.0597383678854485,-0.6482881788799113
9,0.7590479329574324,-0.0597383678854485,-0.6482881788799113,0.7060143703707868,-0.0555645359908892,-0.7060143703707868
10,0.7071067811865476,0.0000000000000000,-0.7071067811865476,0.7060143703707868,0.0555645359908893,-0.7060143703707868
10,0.7060143703707868,0.0555645359908893,-0.7060143703707868,0.7590479329574324,0.0597383678854485,-0.6482881788799113
10,0.7590479329574324,0.0597383678854485,-0.6482881788799113,0.7604059656000310,0.0000000000000000,-0.6494480483301837
10,0.7604059656000310,0.0000000000000000,-0.6494480483301837,0.7071067811865476,0.0000000000000000,-0.7071067811865476
11,0.7060143703707868,0.0555645359908893,-0.7060143703707868,0.7027135113015590,0.1112988861959871,-0.7027135113015590
11,0.7027135113015590,0.1112988861959871,-0.7027135113015590,0.7549504206476012,0.1195723998470435,-0.6447885727576356
11,0.7549504206476012,0.1195723998470435,-0.6447885727576356,0.7590479329574324,0.0597383678854485,-0.6482881788799113
11,0.7590479329574324,0.0597383678854485,-0.6482881788799113,0.7060143703707868,0.0555645359908893,-0.7060143703707868
12,0.7027135113015590,0.1112988861959871,-0.7027135113015590,0.6971328279218609,0.1673667842414925,-0.6971328279218609
12,0.6971328279218609,0.1673667842414925,-0.6971328279218609,0.7480430458253629,0.1795892461802635,-0.6388891173347052
12,0.7480430458253629,0.1795892461802635,-0.6388891173347052,0.7549504206476012,0.1195723998470435,-0.6447885727576356
12,0.7549504206476012,0.1195723998470435,-0.6447885727576356,0.7027135113015590,0.1112988861959871,-0.7027135113015590
13,0.6971328279218609,0.1673667842414925,-0.6971328279218609,0.6891517577746518,0.2239189797945132,-0.6891517577746518
13,0.6891517577746518,0.2239189797945132,-0.6891517577746518,0.7382081147582570,0.2398583564039192,-0.6304892926674255
13,0.7382081147582570,0.2398583564039192,-0.6304892926674255,0.7480430458253629,0.1795892461802635,-0.6388891173347052
